japanese,english
分(わ)かる,"to understand, comprehend"
分(わ)かりますか,Do you understand?
犬(いぬ),dog
はい、分(わ)かります,"Yes, I understand"
猫(ねこ),cat
分(わ)かりません,I don’t understand / I don’t know
一度(いちど),one time
もう,"again, already, another"
言(い)って,"say (it), speak (it)"
もう一度(いちど)言(い)ってください,Please say it again
もっと,"more, further"
ゆっくり,"slowly, leisurely"
もっとゆっくり言(い)ってください,Please speak more slowly
色(いろ),colour
好(す)き,to like (sth)
貴方(あなた),you
家(いえ),house
日本(にほん),Japan
〜人(じん),"nationality, ethnicity"
カナダ,Canada
アメリカ,America
